Date,City,State,Intensity,Valuation,Owner,Phone,Address,Status
2026-04-17,Solomonberg,VIRGINIA,3.36,"$786,593",DEEP SEARCH REQ,UNVERIFIED,"7313 , Country Club, West Virginia 26301",ALPHA LEAD
2026-04-19,West Daniel,VIRGINIA,3.35,"$523,194",DEEP SEARCH REQ,UNVERIFIED,"69409 Laurel Creek Road, , West Virginia 25916",ALPHA LEAD
2026-04-14,South Erica,COLORADO,3.34,"$649,949",DEEP SEARCH REQ,UNVERIFIED,"016 Lookout Mountain Trail, , Colorado 80541",ALPHA LEAD
2026-04-08,South Alvinfurt,OKLAHOMA,3.34,"$684,786",DEEP SEARCH REQ,UNVERIFIED,"1914 US 81, , Oklahoma 73720",ALPHA LEAD
2026-04-11,East Gregory,TEXAS,3.33,"$757,290",DEEP SEARCH REQ,UNVERIFIED,"8648 Stephan's Crossing, Bryan, Texas 77842",ALPHA LEAD
2026-04-10,Lake Kevin,COLORADO,3.31,"$528,880",DEEP SEARCH REQ,UNVERIFIED,"108 County Road 183, Craig, Colorado 81625",ALPHA LEAD
2026-03-29,Lake Nicole,GEORGIA,3.22,"$721,101",DEEP SEARCH REQ,UNVERIFIED,"73515 CR 173, , Florida 32452",ALPHA LEAD
2026-04-02,Laurenborough,OKLAHOMA,3.21,"$526,828",DEEP SEARCH REQ,UNVERIFIED,"712 , , Texas",ALPHA LEAD
2026-04-23,North Jill,COLORADO,3.21,"$864,782",DEEP SEARCH REQ,UNVERIFIED,"6769 , , Colorado",ALPHA LEAD
2026-03-28,Peterfurt,GEORGIA,3.14,"$576,340",DEEP SEARCH REQ,UNVERIFIED,"7258 Adams Perry Road, , Georgia",ALPHA LEAD
2026-04-02,Paulburgh,GEORGIA,3.12,"$734,308",DEEP SEARCH REQ,UNVERIFIED,"876 Hunter Road, , Georgia 30635",ALPHA LEAD
2026-04-16,Jamesfort,VIRGINIA,3.11,"$765,302",DEEP SEARCH REQ,UNVERIFIED,"195 , , Virginia",ALPHA LEAD
2026-04-13,Tinaburgh,GEORGIA,3.07,"$774,538",DEEP SEARCH REQ,UNVERIFIED,"586 , , Georgia 31316",ALPHA LEAD
2026-03-27,Port Jon,TEXAS,2.99,"$711,173",DEEP SEARCH REQ,UNVERIFIED,"2646 , , Coahuila",ALPHA LEAD
2026-04-20,Lake Coreyville,VIRGINIA,2.94,"$947,049",DEEP SEARCH REQ,UNVERIFIED,"125 Fox Ridge Road, , Ohio 45693",ALPHA LEAD
2026-03-26,Port Karina,NEBRASKA,2.93,"$611,605",DEEP SEARCH REQ,UNVERIFIED,"9238 709 Road, , Nebraska",ALPHA LEAD
2026-04-06,Austinborough,VIRGINIA,2.91,"$748,378",DEEP SEARCH REQ,UNVERIFIED,"06930 , , Virginia",ALPHA LEAD
2026-04-07,Nguyenmouth,TEXAS,2.89,"$525,434",DEEP SEARCH REQ,UNVERIFIED,"54006 , , Durango",ALPHA LEAD
2026-03-27,Amandachester,ALABAMA,2.88,"$544,962",DEEP SEARCH REQ,UNVERIFIED,"1861 Iris Lane, Navarre, Florida 32566",ALPHA LEAD
2026-03-28,Port Michaelton,NEBRASKA,2.88,"$638,644",DEEP SEARCH REQ,UNVERIFIED,"347 877 Road, , Nebraska",ALPHA LEAD
2026-04-01,Mcdonaldtown,VIRGINIA,2.88,"$543,421",DEEP SEARCH REQ,UNVERIFIED,"661 , , West Virginia 26710",ALPHA LEAD
