Street Address,City,State,Storm Magnitude,AI Damage Score %,Likely Insurance,Event Date
227 SW Jackson St,,NATIONAL_EXHAUSTIVE,2.0,49.05,Unknown,2026-04-25
231 W Main St,Norman,OK,2.0,48.78,Unknown,2026-03-10
229 W Main St,Norman,OK,2.0,48.61,Unknown,2026-03-10
231 SW Jackson St,,NATIONAL_EXHAUSTIVE,2.0,48.59,Unknown,2026-04-25
233 SW Jackson St,,NATIONAL_EXHAUSTIVE,2.0,48.5,Unknown,2026-04-25
179 E 2nd St,Edmond,OK,2.75,48.4,Unknown,2026-03-10
207 W Main St,Norman,OK,2.0,48.28,Unknown,2026-03-10
235 SW Jackson St,,NATIONAL_EXHAUSTIVE,2.0,48.19,Unknown,2026-04-25
225 W Main St,Norman,OK,2.0,48.17,Unknown,2026-03-10
111 E 2nd St,Edmond,OK,2.75,48.09,Unknown,2026-03-10
223 SW Jackson St,,NATIONAL_EXHAUSTIVE,2.0,48.0,Unknown,2026-04-25
120 NW 10th St,Oklahoma City,OK,1.85,47.87,Unknown,2026-04-23
205 W Main St,Norman,OK,2.0,47.75,Unknown,2026-03-10
221 SW Jackson St,,NATIONAL_EXHAUSTIVE,2.0,47.6,Unknown,2026-04-25
181 E 2nd St,Edmond,OK,2.75,47.45,Unknown,2026-03-10
237 SW Jackson St,,NATIONAL_EXHAUSTIVE,2.0,47.38,Unknown,2026-04-25
109 E 2nd St,Edmond,OK,2.75,47.23,Unknown,2026-03-10
171 Pine Blvd,Torresmouth,OKLAHOMA,1.75,47.2,Unknown,2026-03-26
219 SW Jackson St,,NATIONAL_EXHAUSTIVE,2.0,47.11,Unknown,2026-04-25
122 W Main St,Norman,OK,2.0,47.09,Unknown,2026-03-10
199 E 2nd St,Edmond,OK,2.75,47.07,Unknown,2026-03-10
196 E 2nd St,Edmond,OK,2.75,46.99,Unknown,2026-03-10
183 E 2nd St,Edmond,OK,2.75,46.95,Unknown,2026-03-10
239 SW Jackson St,,NATIONAL_EXHAUSTIVE,2.0,46.73,Unknown,2026-04-25
209 W Main St,Norman,OK,2.0,46.67,Unknown,2026-03-10
198 E 2nd St,Edmond,OK,2.75,46.61,Unknown,2026-03-10
215 SW Jackson St,,NATIONAL_EXHAUSTIVE,2.0,46.58,Unknown,2026-04-25
129 W Main St,Norman,OK,2.0,46.54,Unknown,2026-03-10
217 SW Jackson St,,NATIONAL_EXHAUSTIVE,2.0,46.51,Unknown,2026-04-25
189 W Main St,Norman,OK,2.0,46.35,Unknown,2026-03-10
185 E 2nd St,Edmond,OK,2.75,46.29,Unknown,2026-03-10
211 SW Jackson St,,NATIONAL_EXHAUSTIVE,2.0,46.21,Unknown,2026-04-25
187 W Main St,Norman,OK,2.0,46.16,Unknown,2026-03-10
183 W Main St,Norman,OK,2.0,45.97,Unknown,2026-03-10
185 W Main St,Norman,OK,2.0,45.95,Unknown,2026-03-10
126 E 2nd St,Edmond,OK,2.75,45.94,Unknown,2026-03-10
127 E 2nd St,Edmond,OK,2.75,45.94,Unknown,2026-03-10
128 E 2nd St,Edmond,OK,2.75,45.94,Unknown,2026-03-10
173 W Main St,Norman,OK,2.0,45.92,Unknown,2026-03-10
241 SW Jackson St,,NATIONAL_EXHAUSTIVE,2.0,45.88,Unknown,2026-04-25
181 W Main St,Norman,OK,2.0,45.79,Unknown,2026-03-10
179 W Main St,Norman,OK,2.0,45.76,Unknown,2026-03-10
209 SW Jackson St,,NATIONAL_EXHAUSTIVE,2.0,45.75,Unknown,2026-04-25
187 E 2nd St,Edmond,OK,2.75,45.75,Unknown,2026-03-10
175 N May Ave,Oklahoma City,OK,1.85,45.73,Unknown,2026-04-23
175 W Main St,Norman,OK,2.0,45.59,Unknown,2026-03-10
177 W Main St,Norman,OK,2.0,45.54,Unknown,2026-03-10
167 W Main St,Norman,OK,2.0,45.46,Unknown,2026-03-10
171 W Main St,Norman,OK,2.0,45.35,Unknown,2026-03-10
161 W Main St,Norman,OK,2.0,45.3,Unknown,2026-03-10
165 W Main St,Norman,OK,2.0,45.3,Unknown,2026-03-10
207 SW Jackson St,,NATIONAL_EXHAUSTIVE,2.0,45.19,Unknown,2026-04-25
169 W Main St,Norman,OK,2.0,45.19,Unknown,2026-03-10
197 W Main St,Norman,OK,2.0,45.19,Unknown,2026-03-10
163 W Main St,Norman,OK,2.0,45.18,Unknown,2026-03-10
189 E 2nd St,Edmond,OK,2.75,45.13,Unknown,2026-03-10
243 SW Jackson St,,NATIONAL_EXHAUSTIVE,2.0,45.09,Unknown,2026-04-25
195 W Main St,Norman,OK,2.0,45.03,Unknown,2026-03-10
194 W Main St,Norman,OK,2.0,45.01,Unknown,2026-03-10
192 E 2nd St,Edmond,OK,2.75,44.96,Unknown,2026-03-10
127 W Main St,Norman,OK,2.0,44.94,Unknown,2026-03-10
159 W Main St,Norman,OK,2.0,44.93,Unknown,2026-03-10
205 SW Jackson St,,NATIONAL_EXHAUSTIVE,2.0,44.91,Unknown,2026-04-25
193 W Main St,Norman,OK,2.0,44.91,Unknown,2026-03-10
198 W Main St,Norman,OK,2.0,44.91,Unknown,2026-03-10
199 W Main St,Norman,OK,2.0,44.9,Unknown,2026-03-10
190 E 2nd St,Edmond,OK,2.75,44.89,Unknown,2026-03-10
194 E 2nd St,Edmond,OK,2.75,44.86,Unknown,2026-03-10
191 W Main St,Norman,OK,2.0,44.84,Unknown,2026-03-10
196 W Main St,Norman,OK,2.0,44.81,Unknown,2026-03-10
157 W Main St,Norman,OK,2.0,44.78,Unknown,2026-03-10
118 NW 10th St,Oklahoma City,OK,1.85,44.76,Unknown,2026-04-23
297 SW 24th Ave,Norman,OK,2.0,44.71,Unknown,2026-03-10
126 W Main St,Norman,OK,2.0,44.7,Unknown,2026-03-10
128 W Main St,Norman,OK,2.0,44.67,Unknown,2026-03-10
134 W Main St,Norman,OK,2.0,44.66,Unknown,2026-03-10
288 SW 24th Ave,Norman,OK,2.0,44.63,Unknown,2026-03-10
223 W Main St,Norman,OK,2.0,44.6,Unknown,2026-03-10
298 SW 24th Ave,Norman,OK,2.0,44.59,Unknown,2026-03-10
143 W Main St,Norman,OK,2.0,44.58,Unknown,2026-03-10
130 W Main St,Norman,OK,2.0,44.57,Unknown,2026-03-10
145 W Main St,Norman,OK,2.0,44.57,Unknown,2026-03-10
300 SW 24th Ave,Norman,OK,2.0,44.56,Unknown,2026-03-10
155 W Main St,Norman,OK,2.0,44.54,Unknown,2026-03-10
299 SW 24th Ave,Norman,OK,2.0,44.54,Unknown,2026-03-10
191 E 2nd St,Edmond,OK,2.75,44.53,Unknown,2026-03-10
149 W Main St,Norman,OK,2.0,44.53,Unknown,2026-03-10
188 E 2nd St,Edmond,OK,2.75,44.51,Unknown,2026-03-10
289 SW 24th Ave,Norman,OK,2.0,44.48,Unknown,2026-03-10
147 W Main St,Norman,OK,2.0,44.47,Unknown,2026-03-10
119 E 2nd St,Edmond,OK,2.75,44.41,Unknown,2026-03-10
121 E 2nd St,Edmond,OK,2.75,44.41,Unknown,2026-03-10
151 W Main St,Norman,OK,2.0,44.39,Unknown,2026-03-10
290 SW 24th Ave,Norman,OK,2.0,44.39,Unknown,2026-03-10
287 SW 24th Ave,Norman,OK,2.0,44.38,Unknown,2026-03-10
292 SW 24th Ave,Norman,OK,2.0,44.38,Unknown,2026-03-10
294 SW 24th Ave,Norman,OK,2.0,44.38,Unknown,2026-03-10
153 W Main St,Norman,OK,2.0,44.37,Unknown,2026-03-10
136 W Main St,Norman,OK,2.0,44.36,Unknown,2026-03-10
138 W Main St,Norman,OK,2.0,44.36,Unknown,2026-03-10
286 SW 24th Ave,Norman,OK,2.0,44.36,Unknown,2026-03-10
293 SW 24th Ave,Norman,OK,2.0,44.34,Unknown,2026-03-10
141 W Main St,Norman,OK,2.0,44.33,Unknown,2026-03-10
272 W Main St,Norman,OK,2.0,44.32,Unknown,2026-03-10
200 E 2nd St,Edmond,OK,2.75,44.31,Unknown,2026-03-10
277 W Main St,Norman,OK,2.0,44.31,Unknown,2026-03-10
291 SW 24th Ave,Norman,OK,2.0,44.31,Unknown,2026-03-10
140 W Main St,Norman,OK,2.0,44.3,Unknown,2026-03-10
203 SW Jackson St,,NATIONAL_EXHAUSTIVE,2.0,44.28,Unknown,2026-04-25
284 N May Ave,Oklahoma City,OK,1.85,44.27,Unknown,2026-04-23
115 W Robinson St,Norman,OK,2.0,44.24,Unknown,2026-03-10
284 SW 24th Ave,Norman,OK,2.0,44.23,Unknown,2026-03-10
295 SW 24th Ave,Norman,OK,2.0,44.22,Unknown,2026-03-10
139 W Main St,Norman,OK,2.0,44.21,Unknown,2026-03-10
211 W Main St,Norman,OK,2.0,44.18,Unknown,2026-03-10
282 SW 24th Ave,Norman,OK,2.0,44.18,Unknown,2026-03-10
283 SW 24th Ave,Norman,OK,2.0,44.17,Unknown,2026-03-10
186 E 2nd St,Edmond,OK,2.75,44.15,Unknown,2026-03-10
135 W Main St,Norman,OK,2.0,44.15,Unknown,2026-03-10
270 W Main St,Norman,OK,2.0,44.14,Unknown,2026-03-10
285 SW 24th Ave,Norman,OK,2.0,44.14,Unknown,2026-03-10
245 SW Jackson St,,NATIONAL_EXHAUSTIVE,2.0,44.11,Unknown,2026-04-25
137 W Main St,Norman,OK,2.0,44.11,Unknown,2026-03-10
225 SW Jackson St,,NATIONAL_EXHAUSTIVE,2.0,44.1,Unknown,2026-04-25
296 SW 24th Ave,Norman,OK,2.0,44.09,Unknown,2026-03-10
216 E 1st St,Tulsa,OK,1.6,44.09,Unknown,2026-04-23
144 W Main St,Norman,OK,2.0,44.06,Unknown,2026-03-10
124 NW 10th St,Oklahoma City,OK,1.85,44.05,Unknown,2026-04-23
208 W Main St,Norman,OK,2.0,44.04,Unknown,2026-03-10
280 SW 24th Ave,Norman,OK,2.0,44.04,Unknown,2026-03-10
218 E 1st St,Tulsa,OK,1.6,44.03,Unknown,2026-04-23
219 E 1st St,Tulsa,OK,1.6,44.03,Unknown,2026-04-23
220 E 1st St,Tulsa,OK,1.6,44.03,Unknown,2026-04-23
221 E 1st St,Tulsa,OK,1.6,44.03,Unknown,2026-04-23
100 Main St,Topeka,KS,2.5,43.99,Unknown,2026-04-12
200 SW 10th Ave,Topeka,KS,2.5,43.99,Unknown,2026-04-12
142 W Main St,Norman,OK,2.0,43.98,Unknown,2026-03-10
276 W Main St,Norman,OK,2.0,43.98,Unknown,2026-03-10
279 W Main St,Norman,OK,2.0,43.96,Unknown,2026-03-10
281 W Main St,Norman,OK,2.0,43.93,Unknown,2026-03-10
281 SW 24th Ave,Norman,OK,2.0,43.91,Unknown,2026-03-10
133 W Main St,Norman,OK,2.0,43.88,Unknown,2026-03-10
274 W Main St,Norman,OK,2.0,43.88,Unknown,2026-03-10
278 W Main St,Norman,OK,2.0,43.88,Unknown,2026-03-10
283 W Main St,Norman,OK,2.0,43.88,Unknown,2026-03-10
280 W Main St,Norman,OK,2.0,43.86,Unknown,2026-03-10
193 E 2nd St,Edmond,OK,2.75,43.85,Unknown,2026-03-10
124 W Main St,Norman,OK,2.0,43.85,Unknown,2026-03-10
285 W Main St,Norman,OK,2.0,43.76,Unknown,2026-03-10
201 SW Jackson St,,NATIONAL_EXHAUSTIVE,2.0,43.72,Unknown,2026-04-25
182 E 2nd St,Edmond,OK,2.75,43.7,Unknown,2026-03-10
184 E 2nd St,Edmond,OK,2.75,43.68,Unknown,2026-03-10
146 W Main St,Norman,OK,2.0,43.68,Unknown,2026-03-10
278 SW 24th Ave,Norman,OK,2.0,43.68,Unknown,2026-03-10
207 E 1st St,Tulsa,OK,1.6,43.68,Unknown,2026-04-23
208 E 1st St,Tulsa,OK,1.6,43.68,Unknown,2026-04-23
209 E 1st St,Tulsa,OK,1.6,43.68,Unknown,2026-04-23
210 E 1st St,Tulsa,OK,1.6,43.68,Unknown,2026-04-23
282 W Main St,Norman,OK,2.0,43.67,Unknown,2026-03-10
131 W Main St,Norman,OK,2.0,43.64,Unknown,2026-03-10
148 W Main St,Norman,OK,2.0,43.62,Unknown,2026-03-10
276 SW 24th Ave,Norman,OK,2.0,43.62,Unknown,2026-03-10
279 SW 24th Ave,Norman,OK,2.0,43.58,Unknown,2026-03-10
171 W Robinson St,Norman,OK,2.0,43.57,Unknown,2026-03-10
274 SW 24th Ave,Norman,OK,2.0,43.55,Unknown,2026-03-10
275 SW 24th Ave,Norman,OK,2.0,43.53,Unknown,2026-03-10
190 NW 10th St,Oklahoma City,OK,1.85,43.53,Unknown,2026-04-23
277 SW 24th Ave,Norman,OK,2.0,43.52,Unknown,2026-03-10
214 E 1st St,Tulsa,OK,1.6,43.52,Unknown,2026-04-23
164 E 2nd St,Edmond,OK,2.75,43.51,Unknown,2026-03-10
284 W Main St,Norman,OK,2.0,43.51,Unknown,2026-03-10
192 NW 10th St,Oklahoma City,OK,1.85,43.51,Unknown,2026-04-23
287 W Main St,Norman,OK,2.0,43.5,Unknown,2026-03-10
214 W Main St,Norman,OK,2.0,43.49,Unknown,2026-03-10
180 E 2nd St,Edmond,OK,2.75,43.47,Unknown,2026-03-10
286 W Main St,Norman,OK,2.0,43.46,Unknown,2026-03-10
289 W Main St,Norman,OK,2.0,43.46,Unknown,2026-03-10
288 W Main St,Norman,OK,2.0,43.44,Unknown,2026-03-10
293 W Main St,Norman,OK,2.0,43.43,Unknown,2026-03-10
175 W Robinson St,Norman,OK,2.0,43.43,Unknown,2026-03-10
225 E 1st St,Tulsa,OK,1.6,43.43,Unknown,2026-04-23
178 E 2nd St,Edmond,OK,2.75,43.42,Unknown,2026-03-10
292 W Main St,Norman,OK,2.0,43.42,Unknown,2026-03-10
188 NW 10th St,Oklahoma City,OK,1.85,43.41,Unknown,2026-04-23
150 W Main St,Norman,OK,2.0,43.39,Unknown,2026-03-10
273 SW 24th Ave,Norman,OK,2.0,43.39,Unknown,2026-03-10
247 SW Jackson St,,NATIONAL_EXHAUSTIVE,2.0,43.38,Unknown,2026-04-25
186 NW 10th St,Oklahoma City,OK,1.85,43.38,Unknown,2026-04-23
272 SW 24th Ave,Norman,OK,2.0,43.37,Unknown,2026-03-10
198 NW 10th St,Oklahoma City,OK,1.85,43.36,Unknown,2026-04-23
199 NW 10th St,Oklahoma City,OK,1.85,43.36,Unknown,2026-04-23
196 NW 10th St,Oklahoma City,OK,1.85,43.34,Unknown,2026-04-23
217 W Main St,Norman,OK,2.0,43.32,Unknown,2026-03-10
194 NW 10th St,Oklahoma City,OK,1.85,43.31,Unknown,2026-04-23
203 E 2nd St,Edmond,OK,2.75,43.3,Unknown,2026-03-10
195 E 2nd St,Edmond,OK,2.75,43.29,Unknown,2026-03-10
144 E 2nd St,Edmond,OK,2.75,43.27,Unknown,2026-03-10
291 W Main St,Norman,OK,2.0,43.26,Unknown,2026-03-10
117 W Robinson St,Norman,OK,2.0,43.26,Unknown,2026-03-10
154 W Main St,Norman,OK,2.0,43.22,Unknown,2026-03-10
290 W Main St,Norman,OK,2.0,43.2,Unknown,2026-03-10
294 W Main St,Norman,OK,2.0,43.2,Unknown,2026-03-10
184 NW 10th St,Oklahoma City,OK,1.85,43.19,Unknown,2026-04-23
204 N May Ave,Oklahoma City,OK,1.85,43.19,Unknown,2026-04-23
295 W Main St,Norman,OK,2.0,43.18,Unknown,2026-03-10
142 E 2nd St,Edmond,OK,2.75,43.17,Unknown,2026-03-10
152 W Main St,Norman,OK,2.0,43.17,Unknown,2026-03-10
154 E 2nd St,Edmond,OK,2.75,43.16,Unknown,2026-03-10
173 N May Ave,Oklahoma City,OK,1.85,43.14,Unknown,2026-04-23
249 N High St,,NATIONAL_EXHAUSTIVE,2.0,43.13,Unknown,2026-04-25
156 E 2nd St,Edmond,OK,2.75,43.13,Unknown,2026-03-10
270 SW 24th Ave,Norman,OK,2.0,43.13,Unknown,2026-03-10
126 NW 10th St,Oklahoma City,OK,1.85,43.13,Unknown,2026-04-23
177 N May Ave,Oklahoma City,OK,1.85,43.13,Unknown,2026-04-23
176 E 2nd St,Edmond,OK,2.75,43.11,Unknown,2026-03-10
134 E 2nd St,Edmond,OK,2.75,43.06,Unknown,2026-03-10
271 SW 24th Ave,Norman,OK,2.0,43.06,Unknown,2026-03-10
296 W Main St,Norman,OK,2.0,43.04,Unknown,2026-03-10
152 E 2nd St,Edmond,OK,2.75,43.02,Unknown,2026-03-10
168 E 2nd St,Edmond,OK,2.75,43.02,Unknown,2026-03-10
297 W Main St,Norman,OK,2.0,43.02,Unknown,2026-03-10
298 W Main St,Norman,OK,2.0,43.01,Unknown,2026-03-10
299 W Main St,Norman,OK,2.0,43.01,Unknown,2026-03-10
150 E 2nd St,Edmond,OK,2.75,43.0,Unknown,2026-03-10
263 SW 24th Ave,Norman,OK,2.0,42.99,Unknown,2026-03-10
173 W Robinson St,Norman,OK,2.0,42.99,Unknown,2026-03-10
138 E 2nd St,Edmond,OK,2.75,42.95,Unknown,2026-03-10
269 SW 24th Ave,Norman,OK,2.0,42.92,Unknown,2026-03-10
156 W Main St,Norman,OK,2.0,42.9,Unknown,2026-03-10
164 W Main St,Norman,OK,2.0,42.9,Unknown,2026-03-10
146 E 2nd St,Edmond,OK,2.75,42.89,Unknown,2026-03-10
268 SW 24th Ave,Norman,OK,2.0,42.89,Unknown,2026-03-10
197 E 2nd St,Edmond,OK,2.75,42.87,Unknown,2026-03-10
160 W Main St,Norman,OK,2.0,42.87,Unknown,2026-03-10
119 W Robinson St,Norman,OK,2.0,42.87,Unknown,2026-03-10
158 W Main St,Norman,OK,2.0,42.86,Unknown,2026-03-10
162 W Main St,Norman,OK,2.0,42.86,Unknown,2026-03-10
140 E 2nd St,Edmond,OK,2.75,42.85,Unknown,2026-03-10
172 E 2nd St,Edmond,OK,2.75,42.85,Unknown,2026-03-10
166 E 2nd St,Edmond,OK,2.75,42.84,Unknown,2026-03-10
125 W Main St,Norman,OK,2.0,42.84,Unknown,2026-03-10
121 W Robinson St,Norman,OK,2.0,42.84,Unknown,2026-03-10
148 E 2nd St,Edmond,OK,2.75,42.83,Unknown,2026-03-10
266 SW 24th Ave,Norman,OK,2.0,42.82,Unknown,2026-03-10
267 SW 24th Ave,Norman,OK,2.0,42.81,Unknown,2026-03-10
265 SW 24th Ave,Norman,OK,2.0,42.8,Unknown,2026-03-10
182 NW 10th St,Oklahoma City,OK,1.85,42.79,Unknown,2026-04-23
170 E 2nd St,Edmond,OK,2.75,42.78,Unknown,2026-03-10
174 E 2nd St,Edmond,OK,2.75,42.78,Unknown,2026-03-10
160 E 2nd St,Edmond,OK,2.75,42.76,Unknown,2026-03-10
132 E 2nd St,Edmond,OK,2.75,42.72,Unknown,2026-03-10
170 W Main St,Norman,OK,2.0,42.71,Unknown,2026-03-10
199 SW Jackson St,,NATIONAL_EXHAUSTIVE,2.0,42.68,Unknown,2026-04-25
215 W Main St,Norman,OK,2.0,42.66,Unknown,2026-03-10
136 E 2nd St,Edmond,OK,2.75,42.65,Unknown,2026-03-10
264 SW 24th Ave,Norman,OK,2.0,42.65,Unknown,2026-03-10
179 N May Ave,Oklahoma City,OK,1.85,42.65,Unknown,2026-04-23
158 E 2nd St,Edmond,OK,2.75,42.64,Unknown,2026-03-10
100 E 2nd St,Edmond,OK,2.75,42.63,Unknown,2026-03-10
177 W Robinson St,Norman,OK,2.0,42.63,Unknown,2026-03-10
166 W Main St,Norman,OK,2.0,42.54,Unknown,2026-03-10
219 W Main St,Norman,OK,2.0,42.54,Unknown,2026-03-10
162 E 2nd St,Edmond,OK,2.75,42.52,Unknown,2026-03-10
168 W Main St,Norman,OK,2.0,42.52,Unknown,2026-03-10
172 W Main St,Norman,OK,2.0,42.5,Unknown,2026-03-10
221 W Main St,Norman,OK,2.0,42.48,Unknown,2026-03-10
176 W Main St,Norman,OK,2.0,42.47,Unknown,2026-03-10
174 W Main St,Norman,OK,2.0,42.45,Unknown,2026-03-10
213 W Main St,Norman,OK,2.0,42.44,Unknown,2026-03-10
180 NW 10th St,Oklahoma City,OK,1.85,42.42,Unknown,2026-04-23
309 SW Jackson St,,NATIONAL_EXHAUSTIVE,2.0,42.39,Unknown,2026-04-25
120 W Main St,Norman,OK,2.0,42.39,Unknown,2026-03-10
169 W Robinson St,Norman,OK,2.0,42.38,Unknown,2026-03-10
306 SW Jackson St,,NATIONAL_EXHAUSTIVE,2.0,42.37,Unknown,2026-04-25
178 W Main St,Norman,OK,2.0,42.35,Unknown,2026-03-10
184 W Main St,Norman,OK,2.0,42.32,Unknown,2026-03-10
180 W Main St,Norman,OK,2.0,42.28,Unknown,2026-03-10
