Date,City,Intensity,Valuation,Owner,Phone,Evidence,State
2026-04-19,South John,3.83,"$241,505",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,KANSAS
2026-03-04,Bradland,3.82,"$672,789",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,GEORGIA
2026-04-20,Elizabethton,3.82,"$508,362",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,KANSAS
2026-03-13,Port Christinaborough,3.82,"$338,790",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,OKLAHOMA
2026-03-31,Martinton,3.81,"$393,315",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,OKLAHOMA
2026-03-01,Villegastown,3.81,"$333,581",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,TEXAS
2026-04-24,Jeffreyport,3.8,"$695,727",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,GEORGIA
2026-03-09,West Kimton,3.8,"$593,269",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,TEXAS
2026-03-29,Basshaven,3.8,"$386,033",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,KANSAS
2026-03-20,Lake Charlesfurt,3.79,"$709,743",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,VIRGINIA
2026-03-30,Hernandezmouth,3.79,"$650,285",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,VIRGINIA
2026-03-23,New Ericton,3.79,"$330,172",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,VIRGINIA
2026-03-04,Port Jorgeburgh,3.78,"$240,454",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,KANSAS
2026-03-13,Jonesmouth,3.77,"$601,360",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,TEXAS
2026-03-02,Jessicafort,3.76,"$501,422",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,KANSAS
2026-03-13,Benjaminchester,3.76,"$241,770",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,KANSAS
2026-03-18,East Cynthia,3.74,"$543,726",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,GEORGIA
2026-03-31,Port Aaronton,3.74,"$319,840",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,NEBRASKA
2026-03-09,Craigville,3.74,"$319,435",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,NEBRASKA
2026-03-06,Henryside,3.73,"$706,869",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,GEORGIA
2026-04-21,Christophermouth,3.73,"$501,653",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,ALABAMA
2026-04-10,East Andrewfort,3.73,"$431,522",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,TEXAS
2026-03-07,Daystad,3.73,"$253,814",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,OKLAHOMA
2026-04-01,New Arthur,3.73,"$207,541",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,KANSAS
2026-03-10,Smithburgh,3.72,"$288,729",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,GEORGIA
2026-03-25,South Lori,3.71,"$611,845",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,VIRGINIA
2026-04-04,Livingstonfurt,3.7,"$328,762",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,OKLAHOMA
2026-03-29,Brianstad,3.68,"$667,020",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,COLORADO
2026-04-20,Popeland,3.68,"$233,900",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,NEBRASKA
2026-04-18,New Annettehaven,3.67,"$363,455",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,ALABAMA
2026-04-02,North Madison,3.67,"$337,877",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,KANSAS
2026-03-27,East Josephtown,3.67,"$238,923",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,ALABAMA
2026-03-30,Erinshire,3.67,"$200,456",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,ALABAMA
2026-04-18,Port Randallton,3.65,"$615,542",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,VIRGINIA
2026-03-20,Frankville,3.65,"$583,550",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,KANSAS
2026-04-22,Deniseport,3.65,"$266,272",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,NEBRASKA
2026-03-23,Biancaton,3.64,"$916,671",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,COLORADO
2026-04-12,Rubenville,3.64,"$564,912",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,NEBRASKA
2026-04-06,South Matthew,3.64,"$233,460",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,KANSAS
2026-03-09,Wellschester,3.62,"$582,631",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,TEXAS
2026-03-05,Port Cody,3.62,"$465,277",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,OKLAHOMA
2026-04-14,New Matthew,3.62,"$458,330",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,KANSAS
2026-04-10,Port Alexa,3.62,"$409,046",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,NEBRASKA
2026-03-14,Thomasfurt,3.6,"$435,181",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,COLORADO
2026-03-14,Castilloberg,3.6,"$393,997",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,GEORGIA
2026-04-08,Pereztown,3.6,"$333,367",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,GEORGIA
2026-04-10,Michaelstad,3.58,"$524,319",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,ALABAMA
2026-04-14,North Darylton,3.57,"$701,968",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,COLORADO
2026-04-17,Bassside,3.57,"$541,912",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,NEBRASKA
2026-03-10,New Joshuatown,3.57,"$397,748",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,KANSAS
2026-04-15,Erikaton,3.56,"$846,861",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,VIRGINIA
2026-03-03,Kevinstad,3.56,"$212,048",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,KANSAS
2026-04-03,Lake Christine,3.54,"$909,664",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,COLORADO
2026-03-29,Ellenshire,3.54,"$504,431",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,NEBRASKA
2026-03-04,West Shannon,3.53,"$634,652",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,COLORADO
2026-04-20,Lake Makayla,3.52,"$594,627",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,NEBRASKA
2026-03-08,Mariaburgh,3.52,"$489,528",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,ALABAMA
2026-03-22,Port Kristinachester,3.52,"$285,228",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,ALABAMA
2026-03-18,South Kennethmouth,3.51,"$844,481",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,TEXAS
2026-04-11,Jesseville,3.51,"$331,838",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,NEBRASKA
2026-03-14,North Brianna,3.51,"$314,706",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,KANSAS
2026-03-15,Thompsonview,3.5,"$695,775",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,OKLAHOMA
2026-03-23,West Judyland,3.5,"$677,251",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,TEXAS
2026-04-21,North Michael,3.5,"$624,508",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,VIRGINIA
2026-03-17,Jasonberg,3.5,"$534,805",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,KANSAS
2026-04-17,Charlesburgh,3.49,"$709,343",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,VIRGINIA
2026-03-31,Beanport,3.49,"$403,379",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,OKLAHOMA
2026-04-12,Crystalchester,3.48,"$307,495",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,ALABAMA
2026-03-21,Jacobmouth,3.47,"$786,913",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,TEXAS
2026-04-14,Sheppardview,3.47,"$617,468",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,TEXAS
2026-04-15,Lake Kathleenside,3.47,"$288,185",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,NEBRASKA
2026-04-12,South Matthewfort,3.46,"$737,820",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,GEORGIA
2026-03-09,Kristinaland,3.46,"$617,569",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,VIRGINIA
2026-03-13,Stewartville,3.46,"$361,472",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,GEORGIA
2026-03-06,New Danielburgh,3.44,"$777,410",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,COLORADO
2026-03-22,Port Jessicaborough,3.44,"$749,978",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,COLORADO
2026-04-13,Harmonview,3.44,"$525,842",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,OKLAHOMA
2026-03-19,West Jennifer,3.44,"$435,581",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,ALABAMA
2026-03-12,Michelleton,3.44,"$432,280",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,VIRGINIA
2026-03-09,Tylerfort,3.44,"$415,459",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,ALABAMA
2026-04-17,Port Brianaberg,3.43,"$611,257",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,GEORGIA
2026-03-30,West Joan,3.42,"$390,881",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,GEORGIA
2026-03-06,Hillville,3.4,"$672,151",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,TEXAS
2026-04-16,West Robertview,3.4,"$488,017",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,ALABAMA
2026-03-09,Kimberlymouth,3.39,"$473,353",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,NEBRASKA
2026-03-19,Troyborough,3.39,"$413,418",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,GEORGIA
2026-04-03,Denisefort,3.39,"$192,712",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,ALABAMA
2026-04-18,South Robert,3.38,"$359,631",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,VIRGINIA
2026-04-05,North Meghan,3.37,"$498,414",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,TEXAS
2026-03-08,Port William,3.37,"$477,205",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,KANSAS
2026-04-17,Solomonberg,3.36,"$786,593",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,VIRGINIA
2026-03-14,Michaelside,3.35,"$811,903",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,TEXAS
2026-04-19,West Daniel,3.35,"$523,194",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,VIRGINIA
2026-03-08,Lake Matthew,3.35,"$203,231",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,ALABAMA
2026-04-08,South Alvinfurt,3.34,"$684,786",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,OKLAHOMA
2026-04-14,South Erica,3.34,"$649,949",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,COLORADO
2026-03-24,Lawrencestad,3.34,"$374,298",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,ALABAMA
2026-04-11,East Gregory,3.33,"$757,290",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,TEXAS
2026-03-07,Juliebury,3.33,"$680,164",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,TEXAS
2026-03-05,South Sharonview,3.32,"$435,849",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,ALABAMA
2026-04-23,East Ianfort,3.32,"$332,152",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,KANSAS
2026-03-16,Wendystad,3.32,"$326,382",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,VIRGINIA
2026-04-10,Lake Kevin,3.31,"$528,880",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,COLORADO
2026-04-14,West Monica,3.31,"$438,521",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,ALABAMA
2026-04-09,New Charles,3.3,"$282,286",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,KANSAS
2026-03-08,West Melissachester,3.29,"$941,200",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,COLORADO
2026-03-16,East Matthew,3.28,"$186,107",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,ALABAMA
2026-03-19,North Deborahside,3.27,"$622,931",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,NEBRASKA
2026-03-06,South Lorraine,3.27,"$484,942",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,KANSAS
2026-03-07,Murrayburgh,3.26,"$859,528",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,VIRGINIA
2026-03-20,Aliciaview,3.26,"$632,794",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,OKLAHOMA
2026-03-02,North Ryan,3.24,"$633,846",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,TEXAS
2026-03-25,Fosterbury,3.24,"$433,703",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,ALABAMA
2026-03-31,Ryanstad,3.24,"$425,859",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,TEXAS
2026-03-07,Lake Laura,3.24,"$320,843",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,NEBRASKA
2026-04-21,East Destiny,3.24,"$275,597",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,ALABAMA
2026-03-29,Lake Nicole,3.22,"$721,101",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,GEORGIA
2026-03-24,West Chadview,3.22,"$681,649",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,OKLAHOMA
2026-03-29,Williamsland,3.22,"$442,406",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,KANSAS
2026-04-23,North Jill,3.21,"$864,782",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,COLORADO
2026-04-02,Laurenborough,3.21,"$526,828",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,OKLAHOMA
2026-03-02,New Erika,3.2,"$391,946",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,VIRGINIA
2026-03-15,Port Melissaburgh,3.2,"$306,859",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,GEORGIA
2026-03-02,Sherryside,3.2,"$306,230",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,NEBRASKA
2026-03-11,Williamsport,3.18,"$415,036",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,TEXAS
2026-03-19,North Kimberly,3.17,"$450,812",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,ALABAMA
2026-03-20,Blevinsstad,3.16,"$262,715",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,GEORGIA
2026-03-28,Peterfurt,3.14,"$576,340",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,GEORGIA
2026-03-19,North John,3.14,"$514,709",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,KANSAS
2026-03-09,Salazarside,3.14,"$434,654",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,TEXAS
2026-03-01,Millsmouth,3.13,"$479,264",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,OKLAHOMA
2026-04-23,North Kimberlyside,3.13,"$413,249",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,ALABAMA
2026-04-02,Paulburgh,3.12,"$734,308",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,GEORGIA
2026-04-16,Jamesfort,3.11,"$765,302",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,VIRGINIA
2026-03-23,New John,3.11,"$493,699",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,KANSAS
2026-04-06,Robertotown,3.11,"$322,563",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,NEBRASKA
2026-03-01,Andrewsmouth,3.1,"$676,780",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,VIRGINIA
2026-04-06,Sloanstad,3.1,"$400,519",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,ALABAMA
2026-03-23,Edwardfurt,3.1,"$372,146",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,GEORGIA
2026-03-02,Tammyland,3.09,"$810,341",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,VIRGINIA
2026-03-30,Amybury,3.09,"$493,320",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,KANSAS
2026-03-11,East Leslie,3.09,"$421,480",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,NEBRASKA
2026-03-13,Lake Robert,3.09,"$343,698",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,NEBRASKA
2026-04-13,Tinaburgh,3.07,"$774,538",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,GEORGIA
2026-03-29,New Danielfort,3.07,"$295,183",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,KANSAS
2026-03-12,Taylorville,3.07,"$272,202",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,NEBRASKA
2026-03-12,West Diane,3.05,"$533,551",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,NEBRASKA
2026-03-04,North Christineport,3.04,"$711,692",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,GEORGIA
2026-04-22,Bradytown,3.02,"$322,783",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,VIRGINIA
