Date,City,Intensity,Valuation,Owner,Phone,Evidence,State,latitude,longitude
2026-04-19,West Daniel,3.35,"$523,194",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,VIRGINIA,37.6674,-81.4975
2026-04-14,South Erica,3.34,"$649,949",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,COLORADO,40.5336,-105.495
2026-04-08,South Alvinfurt,3.34,"$684,786",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,OKLAHOMA,36.186,-97.8868
2026-04-11,East Gregory,3.33,"$757,290",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,TEXAS,30.6162,-96.3773
2026-04-23,East Ianfort,3.32,"$332,152",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,KANSAS,38.1805,-98.5197
2026-04-14,West Monica,3.31,"$438,521",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,ALABAMA,33.0019,-85.4072
2026-04-10,Lake Kevin,3.31,"$528,880",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,COLORADO,40.5351,-107.5774
2026-04-09,New Charles,3.3,"$282,286",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,KANSAS,39.6035,-95.7311
2026-04-21,East Destiny,3.24,"$275,597",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,ALABAMA,33.6757,-85.5211
2026-04-02,Laurenborough,3.21,"$526,828",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,OKLAHOMA,35.1269,-100.8547
2026-04-23,North Jill,3.21,"$864,782",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,COLORADO,39.8329,-107.7941
2026-04-23,North Kimberlyside,3.13,"$413,249",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,ALABAMA,34.9997,-85.4906
2026-04-02,Paulburgh,3.12,"$734,308",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,GEORGIA,34.2476,-82.8345
2026-04-06,Robertotown,3.11,"$322,563",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,NEBRASKA,42.5801,-99.9792
2026-04-16,Jamesfort,3.11,"$765,302",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,VIRGINIA,37.2861,-75.7115
2026-04-06,Sloanstad,3.1,"$400,519",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,ALABAMA,34.035,-86.7697
2026-04-13,Tinaburgh,3.07,"$774,538",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,GEORGIA,31.6774,-81.8424
2026-04-22,Bradytown,3.02,"$322,783",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,VIRGINIA,37.0769,-78.8816
