Date,City,Intensity,Valuation,Owner,Phone,Evidence,State
2026-04-12,Rubenville,3.64,"$564,912",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,NEBRASKA
2026-04-06,South Matthew,3.64,"$233,460",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,KANSAS
2026-04-10,Port Alexa,3.62,"$409,046",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,NEBRASKA
2026-04-14,New Matthew,3.62,"$458,330",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,KANSAS
2026-04-08,Pereztown,3.6,"$333,367",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,GEORGIA
2026-04-10,Michaelstad,3.58,"$524,319",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,ALABAMA
2026-04-14,North Darylton,3.57,"$701,968",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,COLORADO
2026-04-17,Bassside,3.57,"$541,912",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,NEBRASKA
2026-04-15,Erikaton,3.56,"$846,861",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,VIRGINIA
2026-04-03,Lake Christine,3.54,"$909,664",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,COLORADO
2026-04-20,Lake Makayla,3.52,"$594,627",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,NEBRASKA
2026-04-11,Jesseville,3.51,"$331,838",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,NEBRASKA
2026-04-21,North Michael,3.5,"$624,508",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,VIRGINIA
2026-04-17,Charlesburgh,3.49,"$709,343",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,VIRGINIA
2026-04-12,Crystalchester,3.48,"$307,495",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,ALABAMA
2026-04-15,Lake Kathleenside,3.47,"$288,185",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,NEBRASKA
2026-04-14,Sheppardview,3.47,"$617,468",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,TEXAS
2026-04-12,South Matthewfort,3.46,"$737,820",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,GEORGIA
2026-04-13,Harmonview,3.44,"$525,842",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,OKLAHOMA
2026-04-17,Port Brianaberg,3.43,"$611,257",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,GEORGIA
2026-04-16,West Robertview,3.4,"$488,017",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,ALABAMA
2026-04-03,Denisefort,3.39,"$192,712",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,ALABAMA
2026-04-18,South Robert,3.38,"$359,631",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,VIRGINIA
2026-04-05,North Meghan,3.37,"$498,414",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,TEXAS
2026-04-17,Solomonberg,3.36,"$786,593",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,VIRGINIA
2026-04-19,West Daniel,3.35,"$523,194",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,VIRGINIA
2026-04-14,South Erica,3.34,"$649,949",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,COLORADO
2026-04-08,South Alvinfurt,3.34,"$684,786",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,OKLAHOMA
2026-04-11,East Gregory,3.33,"$757,290",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,TEXAS
2026-04-23,East Ianfort,3.32,"$332,152",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,KANSAS
2026-04-14,West Monica,3.31,"$438,521",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,ALABAMA
2026-04-10,Lake Kevin,3.31,"$528,880",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,COLORADO
2026-04-09,New Charles,3.3,"$282,286",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,KANSAS
2026-04-21,East Destiny,3.24,"$275,597",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,ALABAMA
2026-04-02,Laurenborough,3.21,"$526,828",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,OKLAHOMA
2026-04-23,North Jill,3.21,"$864,782",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,COLORADO
2026-04-23,North Kimberlyside,3.13,"$413,249",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,ALABAMA
2026-04-02,Paulburgh,3.12,"$734,308",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,GEORGIA
2026-04-06,Robertotown,3.11,"$322,563",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,NEBRASKA
2026-04-16,Jamesfort,3.11,"$765,302",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,VIRGINIA
2026-04-06,Sloanstad,3.1,"$400,519",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,ALABAMA
2026-04-13,Tinaburgh,3.07,"$774,538",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,GEORGIA
2026-04-22,Bradytown,3.02,"$322,783",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,VIRGINIA
